index,screen_name,user_id,tweet_text,length
999,thsjjournal,3929487753,"Fitness Best Aerobic 04092017 
#AerobicsAndCardio ",50
1002,moodyspeaks,2199553048,"A few years ago, while roaming, I ran Into a yoga expert. I showed him Moodyville yoga!! ",89
1011,cmoody1003,91881198,"A few years ago, while roaming, I ran Into a yoga expert. I showed him Moodyville yoga!! ",89
1015,CDMQuality,625781216,"A few years ago, while roaming, I ran Into a yoga expert. I showed him Moodyville yoga!! ",89
1016,Jebspinder,1566336170,"The younger you are when you develop high blood pressure, the more likely you are to develop heart disease and suff… ",117
1017,Maya_Linn,31241644,"Sahara Rose Part II: Alkaline Ayurveda, Intuitive Eating for Your Dosha, Seed Cycling  to Regulate Period,   What H… ",117
1020,PJDubyaM,35838163,"First CrossFit comp today. Partnered up with CF chum Jay. Achieved my three aims: don’t come last, don’t go home in… ",117
1026,ChaseTheLadder,66317419,"Strava Training: Track Running, Cycling &amp; Swimming ",55
1035,Gurds22,16515704,He must workout 😂 #AssassinsCreedOdyssey #XboxShare ,52
1039,Workout_Fitn,2806790152,The Best Breast Workout…EVER!  ,31
1044,XpertDox,4870451772,Researchers have found #evidence that a patient's own #microbiome may be the source of hospital-acquired bloodstrea… ,117
1046,DebraWatkinson,2893195423,"Oh my gosh, one of 'Santa's reindeers' escaped from our community festivities today (snapped here behind the arena)… ",117
1053,jaimiejacklin,2312525384,coming home to find that my sister has been using my yoga mat and a door mat ,77
1054,hvpernews,2373909360,"EU #EU #Health ""May you develop an addiction to Cup-a-Soup, only to find it is no longer available after we crash o… ",117
1055,bikinibodydiet,88787932,Bikini Body Diet - How to eat healthy when the munchies strike  #health ,72
1056,CarlTheTrainer,426801360,I love a “just making this one up” workout with awesomely amazingly superb PFT Family!!! — at Pure Form PFT Stockton ,117
1059,OfficialMMCFIT,2347485163,"MMCFIT™
Wanted to give a quick shout out to i_b_in_the_gym He’s been crazy focused lately and it’s definitely payin… ",117
1071,BMCNutrition,14433975,"PURE Saturday Morning Grind!!
Can't wait to bulk up on some good bad food next week for Thanksgiving.
I'm Thankful… ",116
1075,bluesavannah200,29501102,Another great upper body workout with Josh. Shoulder is feeling better and better each week thanks to the Warmup Jo… ,117
1076,sticky_bottle,358997517,"Cycling project starts with €840,000 phase one in west of Ireland ",66
1077,JimChampaigne,1142263182,Enter the EdgeCrossX Sweepstakes to win your own core-sculpting full body EdgeCross-X portable gym system!… ,108
1079,crys1788,30108508,Please excuse my chapped lips in this pic--I forgot my lip balm this morning. 😂😂I had to oblige the kid with smiley… ,117
1080,RoytheBikeman,3874818394,Hill Climb Diaries  - Cycling's Toughest Season &amp; Your Questions Answered - ,80
1081,imANShinde,3243069637,#FitnessChallenge Night Workout 😎 ,34
1083,HUGmentalhealth,2154636030,"INTERNATIONAL MEN'S DAY 
This was celebrated with about 30 people attending a Men's Health Forum at an Inverness Ho… ",117
1085,CFTrainingYard,2691028910,"CFTY - Thursday 11/15/18
Workout: 30min cap
10 Strict Press (135/95)
10 Squat Clean (136/95)
20 Push Press (155/115… ",117
1089,TonyLittleReal,978851197,Don’t miss me live on Canada’s #TSC tonight at 11pm ET &amp; tomorrow starting at 8am ET - I'll be showcasing my… ,114
1092,FitnessTS,2420795792,"💥Start a new career 2day                                           💥

#fitnesscourses… ",87
1097,joshuams13,1906157186,aunt patricia bought an elliptical today and it was such an experience ,71
1103,Shape_Magazine,30947351,"If you are a serious runner or sit at a desk all day, grab a yoga mat and relieve tension in your shoulders, lower… ",116
1104,SUNYGeneseoISSS,3314904609,Workout Center  ,16
1105,ItsMadisonIvy,4925584943,"The Full Gallery: 
That pre workout... ",39
1107,crazytweetname,1104808795,This 30-Minute Workout Builds Muscle in Less Time ,50
1115,BLsportswear,51954462,When those post workout feels got you like!! Ashton Pant &amp; Romee Pullover so stylish you’ll be dancing in the stree… ,121
1119,elthonmunoz,203179153,"I'm at LA Fitness in Alexandria, VA ",36
1122,naeem2255,44546174,"M2 Bluetooth Smart Bracelet IP 67 waterproof  Heart Rate Smartband with 0.86"" OLED Fitness Tracker Pedometer Calori… ",117
1125,LisM87,1517534952,"First session of Hotpod Yoga and I bloody loved it, I had a bit of trouble taking off my sports bra afterwards thou… ",117
1129,prolificliving,22965175,"Yoga Photoshoot 2011. 🧘🏻‍♀️🧘🏻‍♀️🧘🏻‍♀️As I dust off and relaunch one of the programs I’m most proud of creating, The… ",117
1138,TopExercises,105758510,Runner’s Strength Training Workout  ,36
1141,SLF99,264011735,Holiday Yoga Lovers Giveaway By Om Babes #giveaway #win ,56
1142,yogianujsingh,2223683674,"With the Blessings of Sadurudeo bhagwan, today, we did Brahmvidya Vihangam Yog Prachar at multiple government offic… ",117
1145,Iamyeseniaparra,1356060517,"My mind has been my most important muscle I have!! 
It’s something powerful when a woman uses her OWN mind. 

The a… ",117
1152,mummyinatutu,4141129576,"You Made My Child Ill!  When there's a chance a virus can have a severe reaction, surely exc… ",94
1157,Ayah_Ahmed,27554806,at XSport Fitness ,18
1163,JosephMGatti,131207970,"Me and my bro Saturday morning workout. Boxing 🥊 60! 
•
•
Thanks to my bro for introducing me to this amazing upper… ",117
1164,Jonilar,1358545663,DXD ft. Pharfar – Copenhagen Cycling Chics (Prod. By Pharfar)  ,63
1167,DamianLarbie,3136656315,DXD ft. Pharfar – Copenhagen Cycling Chics (Prod. By Pharfar)  ,63
1168,EristusScreech,1517100163,DXD ft. Pharfar – Copenhagen Cycling Chics (Prod. By Pharfar)  ,63
1169,RaphJohnsonn,3244742765,DXD ft. Pharfar – Copenhagen Cycling Chics (Prod. By Pharfar)  ,63
1170,BEASTwriter_,537553144,"Good morning, 49ers Fit Fam! Never skip leg day! This a staple for me in firing up those quads.

Pre-workout:… ",111
1171,SidneyBortey,1324223869,DXD ft. Pharfar – Copenhagen Cycling Chics (Prod. By Pharfar)  ,63
1175,Kwabenayi,4876887317,DXD ft. Pharfar – Copenhagen Cycling Chics (Prod. By Pharfar)  ,63
1176,Sseery_89,986103252,Decided I would make use of my time in Holland and start running. Could barely go half a mile my first run without… ,116
1182,DonEllaCL,32667181,There is nothing better you can do for your body than to diversify your workouts.. Try skipping for 15min at the en… ,117
1191,hsbscenery,142067165,Awesome Recycle Transparent Plastic Container Box Idea|How to recycle container box|best reuse idea… ,101
1196,PDeliverance,130510212,"Choose Strength. Lift the Weight. Eat the Food. Sleep. Recover. Most importantly, be deaf to the outside noise and… ",116
1202,pluktwit,263758220,I just finished cycling 4.38 km in 11m:14s with #Endomondo #endorphins ,71
1205,SlaveLakeDental,123714983,Slave Lake Dental is sponsoring the Seniors Winter Walking Track at the Multi Recreational Center for the entire mo… ,117
1211,IRONSIDE_GYM,403828482,Haven’t been here since I was 17 wow time flies 💪🏻 — at Champions Fitness Club ,79
1217,jagarza86,219156091,"latest #Move, Cycling 4h 4min, moderate, 79.69 mile. ",53
1220,LELEMARGOT,278382811,"do not mock those who are trying to change, but encourage them to pull off the maximum! mocking the weaker will not… ",117
1221,yogashero,284229405,"|FRIDAY FITNESS|💥
•
I’ve been traveling so it’s #fridayfitness on Saturday! 😂 My friend asked me to share some ab w… ",117
1224,lookralphsbak,325246393,I just finished cycling 1.97 miles in 12m:35s with #Endomondo #endorphins ,74
1226,NCCAOM_Official,4549081542,"As mainstream attention for acupuncture increases, we look to the future of the patient experience. #NCCAOM… ",109
1227,silvermoonprint,44902821,Blade Runner Movie Quote. Typography Print. 8x10 on A4 Archival Matte Paper.  #Christmas… ,90
1237,TomIto79,2901066684,It has been a while since I coached XC but I had a runner go to state as an individual.  After taking out runners f… ,117
1246,julianmethod,3582882197,Barre Workout ,14
1255,SueSanity,557935291,I want to thank the Staff at CUPE 1348 and the GECDSB for inviting SueSanity out to this fantastic Professional Dev… ,117
1257,Jori5280,14967472,I just finished 30m:01s of doing elliptical training with #Endomondo #endorphins ,81
1265,MedFitGroup,2548545750,Sam Shadburn Exercise physiologist with Medical Fitness and Wellness Group talks about our Osteoporosis Exercise Pr… ,117
1270,Bailey_jones15,724602236,I love these girls! Thanks for the killer workout jeswithone_s and jennyfrmthegym for the motivational crap talking… ,117
1273,willvo2maxout,246980882,Cycling: Tour Of Fuzhou 2018 Stage 4 ,37
1275,TheFitQueenB,16909093,Saturday Workout And Client Flow.....❤💪❤ — feeling pumped at Sport&amp;Health Worldgate ,88
1284,sueludwig,28650721,Workout ✅. Better late than never. #dragmyselfhereinwinter ,59
1302,udym44,18486151,I just finished cycling 29.10 km in 2h:09m:07s with #Endomondo #endorphins ,75
1303,eddiebcalvary,2513023153,Test tube kidneys 'go rogue' and sprout BRAIN and muscle cells ,63
1304,distortthecode,18360187,"Been ill all week, but I’ve been to yoga, done my make up and actually going to socialise tonight 🙌 ",100
1307,Typhfoon,2919234751,Whoever lost a size 7 wave runner at Astroworld I got your right shoe #Astroworld ,82
1308,RandazzoMarket,91274754,"New and Amazing at Randazzo Fresh Market, Fit 2 Go Meals!!!!!   These healthy low calorie meals are prepared daily… ",116
1309,woning,14201897,I just finished 1h:18m:02s of cycling with #Endomondo #endorphins ,66
1312,crwriter1,404290687,The Wild Ride  #health ,23
1314,ruth_greene,568344779,Father of Maura Binkley speaks after daughter's death in Hot Yoga shooting ,75
1316,LJakimiak,3034871021,Terrific week at Zane North! Thanks to everyone for supporting the Fitness Fair and American Education Week!… ,110
1317,alholt_89,2395889095,Did some sumo deadlifts yesterday for the first time in a couple of months. Started nice and light but felt oh so w… ,117
1318,LifeCoachView,705224334,"Mental fitness session.

 ",26
1326,rosmallwood75,1096150910,"I'm at Gtn Rdy For Work in Muscle Shoals, AL ",45
1329,rosmallwood75,1096150910,"I'm at Gtn In Shower in Muscle Shoals, AL ",42
1330,dianekleins,35586526,Workout # 8 of 42 great upper body workout this morning with coach Lucas and the Saturday 8 am team!!!🔥😃🔥❤️ — at Re… ,117
1333,BrainMolMkting,2841173607,"“… stress hormone exposure in early life can result in reduced developmental flexibility, with potential fitness ra… ",117
1338,The_MGDF,1916718625,Fit in my 40s: ‘You could do a workout using only your body and resistance bands’  ,83
1341,EAMOperations,228859861,"#ShiftIntoWinter REMINDER:If you plan to travel outside the Lower Mainland and southeastern Vancouver Island, winte… ",117
1346,SimplxeSierra,1320794574,"My CrossFit box is collecting items (and money) to donate to CrossFit Made who not only lost their box, but most of… ",117
1349,muscleboundmama,221612719,The benefits of taking control of your relationship with food are many. Fat loss is the most obvious and most highl… ,117
1351,kharllos06m,118384631,em Mais Fit . Fitness Center ,29
1352,FBIOmaha,346090893,"#DYK the #FBI's newest application, the FBI Physical Fitness Test app, allows aspiring agents and fitness enthusias… ",117
1355,sharjah24,2896213998,"LSDA organises a yoga session for 5,000 workers 
#Sharjah24 ",60
1356,allneedles,429298253,Today we were parkrun touring to Newbiggin-by-the-Sea. My first ever start on the sand. Lovely picturesque course a… ,117
1359,CoachCMcGinnis,2697009874,Here are your champion and runner up for the first annual c club turkey trot with their turkeys. 60 runners. Thank… ,116
1365,Lumbee__25,452571058,"That look of being fed up lol
d_yanosik's third and final attempt at 315 with depth.  With some confirmation from a… ",117
1373,Coach_Cambio,25121423,It’s National Take A Hike Day!  Lots of hiking going on today at the StrongFirst Kettlebell Course is under way!… ,114
1376,jmerinmo,363854504,I just finished cycling 66.20 km in 2h:33m:00s with #Endomondo #endorphins ,75
1378,PicassoWrites,4074372137,The #Importance of Mental Fitness ,34
